areaname,musym,muname,muacres,farmlndcl,compname,nirrcapcl,nirrcapscl,PI
"Guernsey County, Ohio",VtC,"Vincent silt loam, 6 to 15 percent slopes",298,Not prime farmland,Vincent,3,e,66
"Guernsey County, Ohio",AaC2,"Aaron silt loam, 8 to 15 percent slopes, eroded",293,Not prime farmland,Aaron,3,e,65
"Guernsey County, Ohio",BaD,"Barkcamp loam, 8 to 25 percent slopes",290,Not prime farmland,Barkcamp,6,s,33
"Guernsey County, Ohio",VwB,"Vincent silty clay loam, 2 to 6 percent slopes",290,All areas are prime farmland,Vincent,2,e,68
"Guernsey County, Ohio",Fpr1B,"Fairpoint silt loam, 0 to 8 percent slopes, reclaimed",260,Not prime farmland,Fairpoint,3,s,42
"Guernsey County, Ohio",Fpr1D,"Fairpoint silt loam, 8 to 25 percent slopes, reclaimed",243,Not prime farmland,Fairpoint,6,e,34
"Guernsey County, Ohio",CsC2,"Coshocton silt loam, 8 to 15 percent slopes, eroded",220,Not prime farmland,Coshocton,3,e,65
"Guernsey County, Ohio",Bhk4D,"Bethesda channery silt loam, 8 to 25 percent slopes, unreclaimed, highwall",209,Not prime farmland,Bethesda,7,e,25
"Guernsey County, Ohio",CsD,"Coshocton silt loam, 15 to 25 percent slopes",190,Not prime farmland,Coshocton,4,e,54
"Guernsey County, Ohio",BtC,"Brookside-Vandalia complex, 8 to 15 percent slopes",189,Not prime farmland,Brookside,3,e,59
"Guernsey County, Ohio",BtC,"Brookside-Vandalia complex, 8 to 15 percent slopes",189,Not prime farmland,Vandalia,3,e,59
"Guernsey County, Ohio",EnB,"Enoch loam, 0 to 8 percent slopes",169,Not prime farmland,Enoch,6,s,25
"Guernsey County, Ohio",Or,"Orrville silt loam, 0 to 3 percent slopes, occasionally flooded",128,Prime farmland if drained,Orrville,2,w,72
"Guernsey County, Ohio",BrC2,"Brookside silty clay loam, 8 to 15 percent slopes, eroded",111,Not prime farmland,Brookside,3,e,57
"Guernsey County, Ohio",Bhs4B,"Bethesda channery silt loam, 0 to 8 percent slopes, unreclaimed",87,Not prime farmland,Bethesda,4,s,33
"Guernsey County, Ohio",Nd,"Newark silt loam, 0 to 3 percent slopes, occasionally flooded",85,Prime farmland if drained,Newark,2,w,74
"Guernsey County, Ohio",Lc,"Lindside silt loam, 0 to 3 percent slopes, occasionally flooded",55,All areas are prime farmland,Lindside,2,w,80
"Guernsey County, Ohio",UmC,"Upshur silt loam, 8 to 15 percent slopes",50,Not prime farmland,Upshur,4,e,56
"Guernsey County, Ohio",Sb,"Sarahsville silty clay, frequently flooded",48,Not prime farmland,Sarahsville,4,w,56
"Guernsey County, Ohio",BkD,"Brookside silty clay loam, 15 to 25 percent slopes",37,Not prime farmland,Brookside,4,e,51
"Guernsey County, Ohio",KnL1AF,"Kinnick-Lindside silt loams, 0 to 3 percent slopes, frequently flooded",20,Prime farmland if protected from flooding or not frequently flooded during the growing season,Kinnick,2,w,71
"Guernsey County, Ohio",KnL1AF,"Kinnick-Lindside silt loams, 0 to 3 percent slopes, frequently flooded",20,Prime farmland if protected from flooding or not frequently flooded during the growing season,Lindside,2,w,71
"Guernsey County, Ohio",RcC,"Richland channery loam, 8 to 15 percent slopes",20,Not prime farmland,Richland,3,e,56
"Guernsey County, Ohio",Bht1D,"Bethesda silt loam, 8 to 25 percent slopes, reclaimed, highwall",13,Not prime farmland,Bethesda,6,e,26
"Guernsey County, Ohio",Le,"Lobdell silt loam, 0 to 3 percent slopes, occasionally flooded",10,All areas are prime farmland,Lobdell,2,w,77
"Guernsey County, Ohio",LoD2,"Lowell silt loam, 15 to 25 percent slopes, eroded",8,Not prime farmland,Lowell,4,e,52
"Guernsey County, Ohio",MgB,"Mentor silt loam, 2 to 6 percent slopes",8,All areas are prime farmland,Mentor,2,e,77
"Guernsey County, Ohio",KfB,"Keene silt loam, 2 to 6 percent slopes",6,All areas are prime farmland,Keene,2,e,68
"Guernsey County, Ohio",UrC2,"Upshur silty clay loam, 6 to 15 percent slopes, eroded",5,Not prime farmland,Upshur,4,e,53
"Guernsey County, Ohio",CsB,"Coshocton silt loam, 3 to 8 percent slopes",3,Not prime farmland,Coshocton,2,e,70
"Guernsey County, Ohio",LoB,"Lowell silt loam, 3 to 8 percent slopes",3,All areas are prime farmland,Lowell,2,e,69
"Guernsey County, Ohio",BtD2,"Brookside-Vandalia complex, 15 to 25 percent slopes, eroded",2,Not prime farmland,Brookside,4,e,50
"Guernsey County, Ohio",BtD2,"Brookside-Vandalia complex, 15 to 25 percent slopes, eroded",2,Not prime farmland,Vandalia,4,e,50
"Guernsey County, Ohio",GvD2,"Guernsey-Upshur silty clay loams, 15 to 25 percent slopes, eroded",2,Not prime farmland,Guernsey,4,e,50
"Guernsey County, Ohio",GvD2,"Guernsey-Upshur silty clay loams, 15 to 25 percent slopes, eroded",2,Not prime farmland,Upshur,6,e,50
"Hamilton County, Ohio",EcD,"Eden silty clay loam, 15 to 25 percent slopes",8420,Not prime farmland,Eden,6,e,47
"Hamilton County, Ohio",Ju,"Jules silt loam, occasionally flooded",4147,All areas are prime farmland,Jules,2,w,75
"Hamilton County, Ohio",SwC2,"Switzerland silt loam, 8 to 15 percent slopes, eroded",3755,Not prime farmland,Switzerland,3,e,53
"Hamilton County, Ohio",Gn,"Genesee loam, occasionally flooded",3387,All areas are prime farmland,Genesee,2,w,69
"Hamilton County, Ohio",JoR1B2,"Jonesboro-Rossmoyne silt loams, 2 to 6 percent slopes, eroded",3380,All areas are prime farmland,Jonesboro,2,e,72
"Hamilton County, Ohio",JoR1B2,"Jonesboro-Rossmoyne silt loams, 2 to 6 percent slopes, eroded",3380,All areas are prime farmland,Rossmoyne,2,e,72
"Hamilton County, Ohio",St,"Stonelick fine sandy loam, 0 to 2 percent slopes, frequently flooded",2946,Prime farmland if protected from flooding or not frequently flooded during the growing season,Stonelick,3,w,60
"Hamilton County, Ohio",PfD,"Pate silty clay loam, 15 to 25 percent slopes",2853,Not prime farmland,Pate,4,e,42
"Hamilton County, Ohio",CnC2,"Cincinnati silt loam, 8 to 15 percent slopes, eroded",2751,Not prime farmland,Cincinnati,3,e,65
"Hamilton County, Ohio",BoD,"Bonnell silt loam, 15 to 25 percent slopes",1529,Not prime farmland,Bonnell,6,e,50
"Hamilton County, Ohio",ArC2,"Ava silt loam, 8 to 15 percent slopes, eroded",1472,Not prime farmland,Ava,3,e,64
"Hamilton County, Ohio",ArB2,"Ava silt loam, 3 to 8 percent slopes, eroded",1371,Not prime farmland,Ava,3,e,68
"Hamilton County, Ohio",RpC2,"Rossmoyne silt loam, 8 to 15 percent slopes, eroded",1202,Not prime farmland,Rossmoyne,3,e,63
"Hamilton County, Ohio",SwD2,"Switzerland silt loam, 15 to 25 percent slopes, eroded",1136,Not prime farmland,Switzerland,4,e,33
"Hamilton County, Ohio",CnB2,"Cincinnati silt loam, 3 to 8 percent slopes, eroded",1126,Not prime farmland,Cincinnati,2,e,69
"Hamilton County, Ohio",Hu,"Huntington silt loam, 0 to 2 percent slopes, occasionally flooded",1075,All areas are prime farmland,Huntington,2,w,80
"Hamilton County, Ohio",McA,"Martinsville silt loam, 0 to 2 percent slopes",1025,All areas are prime farmland,Martinsville,1,NA,81
"Hamilton County, Ohio",EpA,"Eldean loam, 0 to 2 percent slopes",943,All areas are prime farmland,Eldean,2,s,71
"Hamilton County, Ohio",Lg,"Lanier sandy loam, occasionally flooded",797,All areas are prime farmland,Lanier,2,w,62
"Hamilton County, Ohio",RwB2,"Russell silt loam, 3 to 8 percent slopes, eroded",797,Not prime farmland,Russell,2,e,74
"Hamilton County, Ohio",XfB2,"Xenia silt loam, Southern Ohio Till Plain, 2 to 6 percent slopes, eroded",711,All areas are prime farmland,Xenia,2,e,71
"Hamilton County, Ohio",JoR1A1,"Jonesboro-Rossmoyne silt loams, 0 to 2 percent slopes",670,All areas are prime farmland,Jonesboro,2,w,78
"Hamilton County, Ohio",JoR1A1,"Jonesboro-Rossmoyne silt loams, 0 to 2 percent slopes",670,All areas are prime farmland,Rossmoyne,2,w,78
"Hamilton County, Ohio",FdA,"Fincastle silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",612,Prime farmland if drained,Fincastle,2,w,78
"Hamilton County, Ohio",McB,"Martinsville silt loam, 2 to 6 percent slopes",609,All areas are prime farmland,Martinsville,2,e,77
"Hamilton County, Ohio",Rn,"Ross loam, rarely flooded",588,All areas are prime farmland,Ross,1,NA,92
"Hamilton County, Ohio",EpB2,"Eldean loam, 2 to 6 percent slopes, eroded",578,All areas are prime farmland,Eldean,2,e,66
"Hamilton County, Ohio",HoA,"Henshaw silt loam, 0 to 2 percent slopes",554,Prime farmland if drained,Henshaw,2,w,73
"Hamilton County, Ohio",MaB,"Markland silty clay loam, 2 to 6 percent slopes",539,All areas are prime farmland,Markland,3,e,66
"Hamilton County, Ohio",SwB2,"Switzerland silt loam, 3 to 8 percent slopes, eroded",521,Not prime farmland,Switzerland,2,e,60
"Hamilton County, Ohio",EcC2,"Eden silty clay loam, 8 to 15 percent slopes, eroded",507,Not prime farmland,Eden,4,e,57
"Hamilton County, Ohio",Pn,"Patton silty clay loam, 0 to 2 percent slopes",498,Prime farmland if drained,Patton,2,w,79
"Hamilton County, Ohio",MnC2,"Miamian silt loam, 8 to 15 percent slopes, eroded",493,Not prime farmland,Miamian,3,e,70
"Hamilton County, Ohio",XfA,"Xenia silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",415,All areas are prime farmland,Xenia,1,NA,77
"Hamilton County, Ohio",PbC2,"Parke silt loam, 8 to 15 percent slopes, eroded",367,Not prime farmland,Parke,3,e,64
"Hamilton County, Ohio",PrC2,"Princeton sandy loam, 6 to 12 percent slopes, eroded",355,Not prime farmland,Princeton,3,e,65
"Hamilton County, Ohio",PrA,"Princeton sandy loam, 0 to 2 percent slopes",350,All areas are prime farmland,Princeton,1,NA,73
"Hamilton County, Ohio",EcE2,"Eden silty clay loam, 15 to 25 percent slopes, moderately eroded",340,Not prime farmland,Eden,6,e,41
"Hamilton County, Ohio",FoA,"Fox loam, 0 to 2 percent slopes",290,All areas are prime farmland,Fox,2,s,71
"Hamilton County, Ohio",PbB2,"Parke silt loam, 3 to 8 percent slopes, eroded",280,Not prime farmland,Parke,2,e,69
"Hamilton County, Ohio",WeA,"Wea silt loam, 0 to 2 percent slopes",280,All areas are prime farmland,Wea,1,NA,81
"Hamilton County, Ohio",CdD,"Casco loam, 15 to 25 percent slopes",251,Not prime farmland,Casco,6,e,33
"Hamilton County, Ohio",MaE2,"Markland silty clay loam, 18 to 25 percent slopes, eroded",251,Not prime farmland,Markland,6,e,47
"Hamilton County, Ohio",MoD2,"Miamian-Hennepin silt loams, 15 to 25 percent slopes, eroded",251,Not prime farmland,Miamian,6,e,42
"Hamilton County, Ohio",MoD2,"Miamian-Hennepin silt loams, 15 to 25 percent slopes, eroded",251,Not prime farmland,Hennepin,6,e,42
"Hamilton County, Ohio",PrB,"Princeton sandy loam, 2 to 6 percent slopes",239,All areas are prime farmland,Princeton,2,e,70
"Hamilton County, Ohio",RdA,"Raub silt loam, 0 to 2 percent slopes",220,Prime farmland if drained,Raub,2,w,83
"Hamilton County, Ohio",WsS1A1,"Westboro-Schaffer silt loams, 0 to 2 percent slopes",206,Prime farmland if drained,Schaffer,2,w,69
"Hamilton County, Ohio",WsS1A1,"Westboro-Schaffer silt loams, 0 to 2 percent slopes",206,Prime farmland if drained,Westboro,2,w,69
"Hamilton County, Ohio",MaC2,"Markland silty clay loam, 6 to 12 percent slopes, eroded",199,Not prime farmland,Markland,4,e,61
"Hamilton County, Ohio",FoB2,"Fox loam, 2 to 6 percent slopes, eroded",196,All areas are prime farmland,Fox,2,e,61
"Hamilton County, Ohio",PbD,"Parke silt loam, 15 to 25 percent slopes",189,Not prime farmland,Parke,6,e,50
"Hamilton County, Ohio",EpC2,"Eldean loam, 6 to 12 percent slopes, eroded",173,Not prime farmland,Eldean,3,e,63
"Hamilton County, Ohio",PfC,"Pate silty clay loam, 8 to 15 percent slopes",124,Not prime farmland,Pate,3,e,53
"Hamilton County, Ohio",MaD2,"Markland silty clay loam, 12 to 18 percent slopes, eroded",86,Not prime farmland,Markland,6,e,53
"Hamilton County, Ohio",WhA,"Whitaker loam, 0 to 2 percent slopes",85,Prime farmland if drained,Whitaker,2,w,74
"Hamilton County, Ohio",WbA,"Warsaw variant sandy loam, 0 to 2 percent slopes",83,All areas are prime farmland,Warsaw Variant,2,s,66
"Hamilton County, Ohio",EvB,"Elkinsville silt loam, 2 to 6 percent slopes",79,All areas are prime farmland,Elkinsville,2,e,73
"Hamilton County, Ohio",EcB2,"Eden silty clay loam, 3 to 8 percent slopes, eroded",76,Not prime farmland,Eden,3,e,62
"Hamilton County, Ohio",CmC2,"Cincinnati silt loam, 6 to 12 percent slopes, eroded",72,Not prime farmland,Cincinnati,3,e,66
"Hamilton County, Ohio",CcC2,"Casco gravelly loam, 8 to 15 percent slopes, eroded",70,Not prime farmland,Casco,4,e,45
"Hamilton County, Ohio",EvC,"Elkinsville silt loam, 6 to 12 percent slopes",68,Not prime farmland,Elkinsville,3,e,68
"Hamilton County, Ohio",OcA,"Ockley silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",66,All areas are prime farmland,Ockley,1,NA,77
"Hamilton County, Ohio",DaB,"Dana silt loam, 0 to 4 percent slopes",54,All areas are prime farmland,Dana,2,e,82
"Hamilton County, Ohio",Wa,"Wakeland silt loam, occasionally flooded",50,Prime farmland if drained,Wakeland,2,w,74
"Hamilton County, Ohio",WyC2,"Wynn silt loam, 6 to 12 percent slopes, eroded",49,Not prime farmland,Wynn,2,e,57
"Hamilton County, Ohio",OcB,"Ockley silt loam, 2 to 6 percent slopes",34,All areas are prime farmland,Ockley,2,e,73
"Hamilton County, Ohio",ArA,"Ava silt loam, 0 to 3 percent slopes",31,All areas are prime farmland,Ava,2,e,75
"Hamilton County, Ohio",HmE2,"Hennepin-Miamian silt loams, 18 to 25 percent slopes, moderately eroded",31,Not prime farmland,Hennepin,6,e,33
"Hamilton County, Ohio",HmE2,"Hennepin-Miamian silt loams, 18 to 25 percent slopes, moderately eroded",31,Not prime farmland,Miamian,6,e,33
"Hamilton County, Ohio",Sh,Shoals silt loam,31,Prime farmland if drained,Shoals,2,w,68
"Hamilton County, Ohio",RvB2,"Russell-Miamian silt loams, bedrock substratum, 2 to 6 percent slopes, moderately eroded",29,All areas are prime farmland,Miamian,2,e,68
"Hamilton County, Ohio",RvB2,"Russell-Miamian silt loams, bedrock substratum, 2 to 6 percent slopes, moderately eroded",29,All areas are prime farmland,Russell,2,e,68
"Hamilton County, Ohio",MsC2,"Miamian-Russell silt loams, bedrock substratum, 6 to 12 percent slopes, eroded",28,Not prime farmland,Miamian,3,e,70
"Hamilton County, Ohio",MsC2,"Miamian-Russell silt loams, bedrock substratum, 6 to 12 percent slopes, eroded",28,Not prime farmland,Russell,3,e,70
"Hamilton County, Ohio",XhB,"Xenia silt loam, bedrock substratum, 2 to 6 percent slopes",28,All areas are prime farmland,Xenia,2,e,74
"Hamilton County, Ohio",DcB,"Dana silt loam, 2 to 6 percent slopes",26,All areas are prime farmland,Dana,2,e,81
"Hamilton County, Ohio",Rm,"Ross loam, 0 to 2 percent slopes, occasionally flooded",25,All areas are prime farmland,Ross,3,w,92
"Hamilton County, Ohio",RuB,"Russell-Miamian silt loams, 2 to 6 percent slopes",23,All areas are prime farmland,Russell,2,e,71
"Hamilton County, Ohio",RuB,"Russell-Miamian silt loams, 2 to 6 percent slopes",23,All areas are prime farmland,Miamian,2,e,71
"Hamilton County, Ohio",JoR1B1,"Jonesboro-Rossmoyne silt loams, 2 to 6 percent slopes",20,All areas are prime farmland,Jonesboro,2,e,75
"Hamilton County, Ohio",JoR1B1,"Jonesboro-Rossmoyne silt loams, 2 to 6 percent slopes",20,All areas are prime farmland,Rossmoyne,2,e,75
"Hamilton County, Ohio",RoC2,"Rossmoyne silt loam, 6 to 12 percent slopes, moderately eroded",13,Not prime farmland,Rossmoyne,3,e,66
"Hamilton County, Ohio",RvB,"Russell-Miamian silt loams, bedrock substratum, 2 to 6 percent slopes",9,All areas are prime farmland,Russell,2,e,71
"Hamilton County, Ohio",RvB,"Russell-Miamian silt loams, bedrock substratum, 2 to 6 percent slopes",9,All areas are prime farmland,Miamian,2,e,71
"Hamilton County, Ohio",CmB,"Cincinnati silt loam, 2 to 6 percent slopes",7,All areas are prime farmland,Cincinnati,2,e,74
"Hamilton County, Ohio",WyB2,"Wynn silt loam, 2 to 6 percent slopes, eroded",5,All areas are prime farmland,Wynn,2,e,64
"Hamilton County, Ohio",WcA,"Warsaw loam, 0 to 3 percent slopes",4,All areas are prime farmland,Warsaw,2,s,74
"Hamilton County, Ohio",XhB2,"Xenia silt loam, bedrock substratum, 2 to 6 percent slopes, moderately eroded",3,All areas are prime farmland,Xenia,2,e,68
"Hamilton County, Ohio",Ra,Ragsdale silty clay loam,2,Prime farmland if drained,Ragsdale,2,w,86
"Hamilton County, Ohio",RuB2,"Russell-Miamian silt loams, 2 to 6 percent slopes, moderately eroded",1,All areas are prime farmland,Russell,2,e,68
"Hamilton County, Ohio",RuB2,"Russell-Miamian silt loams, 2 to 6 percent slopes, moderately eroded",1,All areas are prime farmland,Miamian,2,e,68
"Hamilton County, Ohio",RwB,"Russell silt loam, 2 to 6 percent slopes",1,All areas are prime farmland,Russell,2,e,79
"Hamilton County, Ohio",WyB,"Wynn silt loam, 2 to 6 percent slopes",1,All areas are prime farmland,Wynn,2,e,67
"Hancock County, Ohio",PmA,"Pewamo silty clay loam, 0 to 1 percent slopes",83197,Prime farmland if drained,Pewamo,2,w,84
"Hancock County, Ohio",Blg1A1,"Blount silt loam, ground moraine, 0 to 2 percent slopes",59224,Prime farmland if drained,Blount,2,w,78
"Hancock County, Ohio",HcA,"Hoytville silty clay loam, 0 to 1 percent slopes",23347,Prime farmland if drained,Hoytville,2,w,83
"Hancock County, Ohio",Blg1B1,"Blount silt loam, ground moraine, 2 to 4 percent slopes",19156,Prime farmland if drained,Blount,2,e,75
"Hancock County, Ohio",GsB,"Glynwood-Blount-Houcktown complex, 1 to 4 percent slopes",15700,All areas are prime farmland,Glynwood,3,e,72
"Hancock County, Ohio",GsB,"Glynwood-Blount-Houcktown complex, 1 to 4 percent slopes",15700,All areas are prime farmland,Blount,2,e,72
"Hancock County, Ohio",GsB,"Glynwood-Blount-Houcktown complex, 1 to 4 percent slopes",15700,All areas are prime farmland,Houcktown,2,e,72
"Hancock County, Ohio",BpA,"Blount-Houcktown complex, 0 to 3 percent slopes",12141,Prime farmland if drained,Blount,2,w,77
"Hancock County, Ohio",BpA,"Blount-Houcktown complex, 0 to 3 percent slopes",12141,Prime farmland if drained,Houcktown,1,NA,77
"Hancock County, Ohio",Ble1A1,"Blount silt loam, end moraine, 0 to 2 percent slopes",11987,Prime farmland if drained,Blount,2,w,78
"Hancock County, Ohio",Gwg1B1,"Glynwood silt loam, ground moraine, 2 to 6 percent slopes",6750,All areas are prime farmland,Glynwood,2,e,70
"Hancock County, Ohio",DfA,"Del Rey-Blount complex, 0 to 3 percent slopes",6252,Prime farmland if drained,Del Rey,2,w,77
"Hancock County, Ohio",DfA,"Del Rey-Blount complex, 0 to 3 percent slopes",6252,Prime farmland if drained,Blount,2,w,77
"Hancock County, Ohio",Ble1B1,"Blount silt loam, end moraine, 2 to 4 percent slopes",5410,Prime farmland if drained,Blount,2,e,75
"Hancock County, Ohio",RhA,"Rensselaer loam, till substratum, 0 to 1 percent slopes",5090,Prime farmland if drained,"Rensselaer, till substratum",2,w,100
"Hancock County, Ohio",ArA,"Aurand loam, 0 to 2 percent slopes",3721,Prime farmland if drained,Aurand,2,w,94
"Hancock County, Ohio",Blg2A1,"Blount loam, ground moraine, 0 to 2 percent slopes",3305,Prime farmland if drained,Blount,2,w,78
"Hancock County, Ohio",HpB,"Houcktown loam, 2 to 6 percent slopes",2995,All areas are prime farmland,Houcktown,2,e,74
"Hancock County, Ohio",AkA,"Alvada loam, 0 to 1 percent slopes",2964,Prime farmland if drained,Alvada,2,w,92
"Hancock County, Ohio",SpA,"Sloan silty clay loam, limestone substratum, 0 to 1 percent slopes, occasionally flooded",2926,Prime farmland if drained,"Sloan, limestone substratum",3,w,79
"Hancock County, Ohio",SoA,"Sloan silty clay loam, 0 to 1 percent slopes, occasionally flooded",2924,Prime farmland if drained,Sloan,3,w,79
"Hancock County, Ohio",SkB,"Shinrock, till substratum-Glynwood complex, 1 to 4 percent slopes",2918,All areas are prime farmland,"Shinrock, till substratum",2,e,74
"Hancock County, Ohio",SkB,"Shinrock, till substratum-Glynwood complex, 1 to 4 percent slopes",2918,All areas are prime farmland,Glynwood,3,e,74
"Hancock County, Ohio",Gwe1B1,"Glynwood silt loam, end moraine, 2 to 6 percent slopes",2884,All areas are prime farmland,Glynwood,2,e,70
"Hancock County, Ohio",MgA,"Millsdale silty clay loam, 0 to 1 percent slopes",2553,Prime farmland if drained,Millsdale,3,w,76
"Hancock County, Ohio",NpA,"Nappanee silty clay loam, 0 to 2 percent slopes",2333,Prime farmland if drained,Nappanee,3,w,70
"Hancock County, Ohio",TkA,"Tiderishi loam, 0 to 2 percent slopes",2303,Prime farmland if drained,Tiderishi,2,w,88
"Hancock County, Ohio",SeB,"Shawtown loam, 2 to 6 percent slopes",2072,All areas are prime farmland,Shawtown,2,e,64
"Hancock County, Ohio",JfB,"Jenera-Shinrock, till substratum complex, 1 to 4 percent slopes",2042,All areas are prime farmland,Jenera,2,e,78
"Hancock County, Ohio",JfB,"Jenera-Shinrock, till substratum complex, 1 to 4 percent slopes",2042,All areas are prime farmland,"Shinrock, till substratum",2,e,78
"Hancock County, Ohio",HrB,"Houcktown-Glynwood-Jenera complex, 1 to 4 percent slopes",1941,All areas are prime farmland,Houcktown,2,e,75
"Hancock County, Ohio",HrB,"Houcktown-Glynwood-Jenera complex, 1 to 4 percent slopes",1941,All areas are prime farmland,Glynwood,3,e,75
"Hancock County, Ohio",HrB,"Houcktown-Glynwood-Jenera complex, 1 to 4 percent slopes",1941,All areas are prime farmland,Jenera,2,e,75
"Hancock County, Ohio",WeA,"Westland-Rensselaer complex, 0 to 1 percent slopes",1927,Prime farmland if drained,Rensselaer,2,w,95
"Hancock County, Ohio",WeA,"Westland-Rensselaer complex, 0 to 1 percent slopes",1927,Prime farmland if drained,Westland,2,w,95
"Hancock County, Ohio",HoA,"Hoytville clay loam, 0 to 1 percent slopes",1885,Prime farmland if drained,Hoytville,2,w,83
"Hancock County, Ohio",VaA,"Vanlue loam, 0 to 2 percent slopes",1682,Prime farmland if drained,Vanlue,2,w,74
"Hancock County, Ohio",BrA,"Blount-Jenera complex, 0 to 3 percent slopes",1606,Prime farmland if drained,Blount,2,w,79
"Hancock County, Ohio",BrA,"Blount-Jenera complex, 0 to 3 percent slopes",1606,Prime farmland if drained,Jenera,1,NA,79
"Hancock County, Ohio",MeA,"Mermill loam, 0 to 1 percent slopes",1507,Prime farmland if drained,Mermill,2,w,92
"Hancock County, Ohio",FdA,"Flatrock silt loam, limestone substratum, 0 to 2 percent slopes, occasionally flooded",1465,All areas are prime farmland,"Flatrock, limestone substratum",2,w,78
"Hancock County, Ohio",MvB,"Mortimer silt loam, 2 to 6 percent slopes",1459,All areas are prime farmland,Mortimer,3,e,61
"Hancock County, Ohio",McA,"Medway silt loam, limestone substratum, 0 to 2 percent slopes, occasionally flooded",1417,All areas are prime farmland,"Medway, limestone substratum",2,w,88
"Hancock County, Ohio",FoB,"Fox loam, 2 to 6 percent slopes",1411,All areas are prime farmland,Fox,2,e,68
"Hancock County, Ohio",HnA,"Haskins loam, 0 to 2 percent slopes",1310,Prime farmland if drained,Haskins,2,w,77
"Hancock County, Ohio",JeA,"Jenera fine sandy loam, 0 to 2 percent slopes",1182,All areas are prime farmland,Jenera,1,NA,80
"Hancock County, Ohio",ThA,"Thackery loam, till substratum, 0 to 2 percent slopes",1172,All areas are prime farmland,"Thackery, till substratum",1,NA,71
"Hancock County, Ohio",LbA,"Lamberjack loam, 0 to 2 percent slopes",1142,Prime farmland if drained,Lamberjack,2,w,77
"Hancock County, Ohio",RcA,"Randolph silt loam, 0 to 2 percent slopes",1086,Prime farmland if drained,Randolph,3,w,73
"Hancock County, Ohio",Gwg5C2,"Glynwood clay loam, ground moraine, 6 to 12 percent slopes, eroded",1028,Not prime farmland,Glynwood,3,e,61
"Hancock County, Ohio",AdA,"Adrian muck, drained, 0 to 1 percent slopes",957,Not prime farmland,Adrian,4,w,66
"Hancock County, Ohio",NnA,"Nappanee loam, 0 to 2 percent slopes",943,Prime farmland if drained,Nappanee,3,w,73
"Hancock County, Ohio",RtA,"Rossburg silt loam, 0 to 2 percent slopes, occasionally flooded",917,All areas are prime farmland,Rossburg,2,w,86
"Hancock County, Ohio",MfA,"Mermill clay loam, 0 to 1 percent slopes",895,Prime farmland if drained,Mermill,2,w,89
"Hancock County, Ohio",EmA,"Elliott silt loam, 0 to 2 percent slopes",869,Prime farmland if drained,Elliott,2,w,79
"Hancock County, Ohio",SmA,"Shoals silt loam, 0 to 2 percent slopes, occasionally flooded",857,Prime farmland if drained,Shoals,2,w,76
"Hancock County, Ohio",OsB,"Oshtemo sandy loam, till substratum, 2 to 6 percent slopes",818,All areas are prime farmland,"Oshtemo, till substratum",3,e,63
"Hancock County, Ohio",SeA,"Shawtown loam, 0 to 2 percent slopes",778,All areas are prime farmland,Shawtown,1,NA,67
"Hancock County, Ohio",Gwg5B2,"Glynwood clay loam, ground moraine, 2 to 6 percent slopes, eroded",772,All areas are prime farmland,Glynwood,2,e,65
"Hancock County, Ohio",MbA,"Medway silt loam, 0 to 2 percent slopes, occasionally flooded",726,All areas are prime farmland,Medway,2,w,88
"Hancock County, Ohio",SnA,"Sloan loam, 0 to 1 percent slopes, occasionally flooded",705,Prime farmland if drained,Sloan,3,w,80
"Hancock County, Ohio",MnA,"Milton silt loam, 0 to 2 percent slopes",652,All areas are prime farmland,Milton,2,s,70
"Hancock County, Ohio",TpA,"Tuscola fine sandy loam, 0 to 2 percent slopes",637,All areas are prime farmland,Tuscola,1,NA,80
"Hancock County, Ohio",JeB,"Jenera fine sandy loam, 2 to 6 percent slopes",634,All areas are prime farmland,Jenera,2,e,77
"Hancock County, Ohio",MsB,"Morley, limestone substratum-Milton complex, 2 to 6 percent slopes",607,All areas are prime farmland,Milton,2,e,72
"Hancock County, Ohio",MsB,"Morley, limestone substratum-Milton complex, 2 to 6 percent slopes",607,All areas are prime farmland,Morley,2,e,72
"Hancock County, Ohio",OrB,"Oshtemo fine sandy loam, 2 to 6 percent slopes",566,All areas are prime farmland,Oshtemo,3,e,64
"Hancock County, Ohio",CtA,"Cygnet loam, 0 to 2 percent slopes",522,All areas are prime farmland,Cygnet,1,NA,74
"Hancock County, Ohio",FcA,"Flatrock silt loam, 0 to 2 percent slopes, occasionally flooded",508,All areas are prime farmland,Flatrock,2,w,78
"Hancock County, Ohio",OrA,"Oshtemo fine sandy loam, 0 to 2 percent slopes",495,All areas are prime farmland,Oshtemo,3,s,65
"Hancock County, Ohio",GfA,"Gilford mucky loam, 0 to 2 percent slopes",486,Prime farmland if drained,Gilford,3,w,86
"Hancock County, Ohio",HaA,"Harrod silt loam, 0 to 1 percent slopes, frequently flooded",484,Prime farmland if protected from flooding or not frequently flooded during the growing season,Harrod,3,w,78
"Hancock County, Ohio",DbA,"Darroch loam, 0 to 2 percent slopes",461,Prime farmland if drained,Darroch,2,w,88
"Hancock County, Ohio",MrA,"Morley loam, limestone substratum, 0 to 2 percent slopes",450,All areas are prime farmland,"Morley, limestone substratum",1,NA,75
