areaname,musym,muname,muacres,farmlndcl,PI
"Erie County, Ohio",ZuD2,"Zurich silt loam, 12 to 18 percent slopes, eroded",1534,Not prime farmland,60
"Erie County, Ohio",OhB,"Ogontz silt loam, 2 to 6 percent slopes",1511,All areas are prime farmland,78
"Erie County, Ohio",BgB,"Bennington silt loam, 2 to 6 percent slopes",1467,Prime farmland if drained,66
"Erie County, Ohio",MxA,"Mitiwanga silt loam, 0 to 2 percent slopes",1452,Prime farmland if drained,65
"Erie County, Ohio",CnA,"Colwood silt loam, bedrock substratum, 0 to 1 percent slopes",1430,Prime farmland if drained,78
"Erie County, Ohio",TpA,"Toledo silty clay, 0 to 1 percent slopes, flooded",1429,Not prime farmland,56
"Erie County, Ohio",Pk,"Pits, quarry",1365,Not prime farmland,NA
"Erie County, Ohio",EcA,"Elliott silt loam, bedrock substratum, 0 to 2 percent slopes",1195,Prime farmland if drained,79
"Erie County, Ohio",ZuC2,"Zurich silt loam, 6 to 12 percent slopes, eroded",1182,Not prime farmland,68
"Erie County, Ohio",MrA,"Miner silty clay loam, 0 to 2 percent slopes",1174,Prime farmland if drained,69
"Erie County, Ohio",SpB,"Spinks loamy fine sand, 0 to 6 percent slopes",1152,Not prime farmland,55
"Erie County, Ohio",ShB,"Shinrock silt loam, 2 to 6 percent slopes",1120,All areas are prime farmland,77
"Erie County, Ohio",RcB,"Rawson sandy loam, 2 to 6 percent slopes",1110,All areas are prime farmland,71
"Erie County, Ohio",CcB,"Castalia very channery loam, 2 to 6 percent slopes",1101,Not prime farmland,43
"Erie County, Ohio",SbF,"Saylesville silt loam, 25 to 40 percent slopes",1083,Not prime farmland,NA
"Erie County, Ohio",RhB,"Ritchey loam, 2 to 6 percent slopes",1069,Not prime farmland,49
"Erie County, Ohio",RhA,"Ritchey loam, 0 to 2 percent slopes",1030,Not prime farmland,49
"Erie County, Ohio",RgA,"Rimer loamy fine sand, 0 to 2 percent slopes",1027,Prime farmland if drained,68
"Erie County, Ohio",OgA,"Ogontz fine sandy loam, 0 to 2 percent slopes",1011,All areas are prime farmland,78
"Erie County, Ohio",MsA,"Miner silt loam, shale substratum, 0 to 2 percent slopes",974,Prime farmland if drained,69
"Erie County, Ohio",CtB,"Conotton loam, 2 to 6 percent slopes",940,All areas are prime farmland,59
"Erie County, Ohio",DuA,"Dunbridge loamy sand, 0 to 2 percent slopes",913,All areas are prime farmland,57
"Erie County, Ohio",EsA,"Endoaquents, loamy, 0 to 1 percent slopes",878,Not prime farmland,NA
"Erie County, Ohio",ZuF,"Zurich silt loam, 25 to 40 percent slopes",866,Not prime farmland,NA
"Erie County, Ohio",TnA,"Toledo silty clay loam, 0 to 1 percent slopes",858,Prime farmland if drained,78
"Erie County, Ohio",BkB,"Bixler loamy fine sand, 2 to 6 percent slopes",850,Prime farmland if drained,66
"Erie County, Ohio",CbC2,"Cardington silty clay loam, 6 to 12 percent slopes, eroded",818,Not prime farmland,61
"Erie County, Ohio",AnG,"Amanda-Dekalb-Rock outcrop association, 40 to 70 percent slopes",788,Not prime farmland,NA
"Erie County, Ohio",JuA,"Joliet silt loam, 0 to 1 percent slopes",727,Prime farmland if drained,45
"Erie County, Ohio",EoA,"Elnora loamy fine sand, bedrock substratum, 0 to 4 percent slopes",725,Not prime farmland,52
"Erie County, Ohio",DuB,"Dunbridge loamy sand, 2 to 6 percent slopes",679,All areas are prime farmland,56
"Erie County, Ohio",MbB,"Marblehead loam, 0 to 6 percent slopes",651,Not prime farmland,NA
"Erie County, Ohio",OaB,"Oakville loamy fine sand, 0 to 6 percent slopes",649,Not prime farmland,49
"Erie County, Ohio",SkD2,"Shinrock silty clay loam, 12 to 18 percent slopes, eroded",615,Not prime farmland,61
"Erie County, Ohio",TgA,"Tioga loam, 0 to 2 percent slopes, occasionally flooded",613,All areas are prime farmland,72
"Erie County, Ohio",RcA,"Rawson sandy loam, 0 to 2 percent slopes",598,All areas are prime farmland,73
"Erie County, Ohio",DbB,"Dekalb channery loam, 2 to 6 percent slopes",582,Not prime farmland,64
"Erie County, Ohio",NoA,"Nolin silt loam, 0 to 2 percent slopes, occasionally flooded",576,All areas are prime farmland,74
"Erie County, Ohio",SkC2,"Shinrock silty clay loam, 6 to 12 percent slopes, eroded",576,Not prime farmland,66
"Erie County, Ohio",ChB,"Chili loam, loamy substratum, 2 to 6 percent slopes",568,All areas are prime farmland,67
"Erie County, Ohio",WaB,"Wakeman sandy loam, 2 to 6 percent slopes",561,All areas are prime farmland,61
"Erie County, Ohio",Bc,Beaches,545,Not prime farmland,NA
"Erie County, Ohio",FnA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded",537,Not prime farmland,NA
"Erie County, Ohio",MnB,"Milton silt loam, 2 to 6 percent slopes",489,All areas are prime farmland,67
"Erie County, Ohio",SaA,"Sandusky loam, 0 to 1 percent slopes",460,Prime farmland if drained,77
"Erie County, Ohio",DbD,"Dekalb channery loam, 12 to 18 percent slopes",392,Not prime farmland,56
"Erie County, Ohio",OrA,"Orrville silt loam, bedrock substratum, 0 to 2 percent slopes, frequently flooded",385,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,69
"Erie County, Ohio",FoB,"Fox loam, 2 to 6 percent slopes",366,All areas are prime farmland,68
"Erie County, Ohio",AeA,"Algiers silt loam, 0 to 2 percent slopes",313,Prime farmland if drained,74
"Erie County, Ohio",UcB,"Udipsamments-Spinks complex, 0 to 6 percent slopes",293,Not prime farmland,38
"Erie County, Ohio",SpD,"Spinks loamy fine sand, 12 to 18 percent slopes",290,Not prime farmland,47
"Erie County, Ohio",BvG,"Brecksville silt loam, 40 to 70 percent slopes",287,Not prime farmland,NA
"Erie County, Ohio",ZuE2,"Zurich silt loam, 18 to 25 percent slopes, eroded",274,Not prime farmland,56
"Erie County, Ohio",MxB,"Mitiwanga silt loam, 2 to 6 percent slopes",272,Prime farmland if drained,62
"Erie County, Ohio",HrB,"Hornell silt loam, 2 to 6 percent slopes",240,Prime farmland if drained,53
"Erie County, Ohio",RhC,"Ritchey loam, 6 to 12 percent slopes",214,Not prime farmland,47
"Erie County, Ohio",MaA,"Mahoning silt loam, 0 to 2 percent slopes",178,Prime farmland if drained,63
"Erie County, Ohio",AmD2,"Amanda loam, 12 to 18 percent slopes, eroded",174,Not prime farmland,61
"Erie County, Ohio",CcD,"Castalia very channery loam, 12 to 18 percent slopes",154,Not prime farmland,NA
"Erie County, Ohio",HpB,"Hornell loam, 2 to 6 percent slopes",147,Prime farmland if drained,54
"Erie County, Ohio",CuC,"Conotton gravelly loam, 6 to 12 percent slopes",146,Not prime farmland,54
"Erie County, Ohio",HdA,"Harrod silt loam, 0 to 1 percent slopes, frequently flooded",145,Prime farmland if protected from flooding or not frequently flooded during the growing season,78
"Erie County, Ohio",WaC,"Wakeman sandy loam, 6 to 12 percent slopes",140,Not prime farmland,59
"Erie County, Ohio",EdB,"Ellsworth silt loam, 2 to 6 percent slopes",125,All areas are prime farmland,67
"Erie County, Ohio",On,"Orrville silt loam, frequently flooded",123,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,69
"Erie County, Ohio",OmA,"Olmsted loam, 0 to 1 percent slopes",90,Prime farmland if drained,79
"Erie County, Ohio",MaB,"Mahoning silt loam, 2 to 6 percent slopes",69,Prime farmland if drained,62
"Erie County, Ohio",CaA,"Cardington silt loam, 0 to 2 percent slopes",67,All areas are prime farmland,73
"Erie County, Ohio",Pg,"Pits, gravel or sand",51,Not prime farmland,NA
"Erie County, Ohio",AgF,"Alexandria silt loam, 25 to 50 percent slopes",44,Not prime farmland,NA
"Erie County, Ohio",AaA,"Adrian muck, Erie-Huron lake plain, 0 to 1 percent slopes",26,Not prime farmland,66
"Erie County, Ohio",KcA,"Kibbie loam, 0 to 2 percent slopes",20,Prime farmland if drained,85
"Erie County, Ohio",EdC2,"Ellsworth silt loam, 6 to 12 percent slopes, eroded",8,Not prime farmland,56
"Erie County, Ohio",BdB,"Belmore loam, 2 to 6 percent slopes",4,All areas are prime farmland,64
"Erie County, Ohio",PrA,"Prout silt loam, 0 to 2 percent slopes",4,Prime farmland if drained,63
"Erie County, Ohio",Gwg1B1,"Glynwood silt loam, ground moraine, 2 to 6 percent slopes",1,All areas are prime farmland,70
"Erie County, Ohio",SrB,"Spinks loamy fine sand, 2 to 6 percent slopes",1,Not prime farmland,55
"Fairfield County, Ohio",Cen1B1,"Centerburg silt loam, 2 to 6 percent slopes",27293,All areas are prime farmland,75
"Fairfield County, Ohio",BeA,"Bennington silt loam, 0 to 2 percent slopes",23920,Prime farmland if drained,69
"Fairfield County, Ohio",AmC2,"Amanda silt loam, 6 to 12 percent slopes, eroded",21834,Farmland of unique importance,67
"Fairfield County, Ohio",Ma,Marengo clay loam,14256,Prime farmland if drained,79
"Fairfield County, Ohio",Crd1B1,"Cardington silt loam, 2 to 6 percent slopes",12619,All areas are prime farmland,69
"Fairfield County, Ohio",AmB2,"Amanda silt loam, 2 to 6 percent slopes, eroded",11944,All areas are prime farmland,72
"Fairfield County, Ohio",Cen1B2,"Centerburg silt loam, 2 to 6 percent slopes, eroded",10808,All areas are prime farmland,72
"Fairfield County, Ohio",Pe,"Pewamo silty clay loam, low carbonate till, 0 to 2 percent slopes",9510,Prime farmland if drained,84
"Fairfield County, Ohio",SeE,"Shelocta-Berks complex, 25 to 40 percent slopes",7962,Not prime farmland,NA
"Fairfield County, Ohio",Ag,"Aetna silt loam, occasionally flooded",7710,Prime farmland if drained,74
"Fairfield County, Ohio",GcE,"Germano sandy loam, 25 to 40 percent slopes",6946,Not prime farmland,NA
"Fairfield County, Ohio",AmB,"Amanda silt loam, 2 to 6 percent slopes",6770,All areas are prime farmland,75
"Fairfield County, Ohio",AmD2,"Amanda silt loam, 12 to 20 percent slopes, eroded",5951,Farmland of unique importance,61
"Fairfield County, Ohio",HoD2,"Homewood-Gilpin complex, 12 to 20 percent slopes, eroded",5445,Farmland of local importance,56
"Fairfield County, Ohio",Crd1B2,"Cardington silt loam, 2 to 6 percent slopes, eroded",5299,All areas are prime farmland,66
"Fairfield County, Ohio",Pa,"Patton silty clay loam, 0 to 2 percent slopes",4735,Prime farmland if drained,79
"Fairfield County, Ohio",BeB,"Bennington silt loam, 2 to 6 percent slopes",4642,Prime farmland if drained,66
"Fairfield County, Ohio",GaB,"Gallman silt loam, loamy substratum, 2 to 6 percent slopes",4462,All areas are prime farmland,73
"Fairfield County, Ohio",Pb,"Patton silty clay loam, 0 to 2 percent slopes, rarely flooded",4462,Prime farmland if drained,79
"Fairfield County, Ohio",CeB,"Celina silt loam, 2 to 6 percent slopes",4245,All areas are prime farmland,76
"Fairfield County, Ohio",Wk,"Westland silty clay loam, Southern Ohio Till Plain, 0 to 2 percent slopes",3903,Prime farmland if drained,83
"Fairfield County, Ohio",AoC3,"Amanda silty clay loam, 6 to 12 percent slopes, severely eroded",3668,Farmland of unique importance,63
"Fairfield County, Ohio",MkB2,"Miamian silt loam, 2 to 6 percent slopes, eroded",3604,All areas are prime farmland,73
"Fairfield County, Ohio",Ee,"Eel silt loam, gravelly substratum, occasionally flooded",3598,All areas are prime farmland,71
"Fairfield County, Ohio",GdF,"Germano-Rock outcrop complex, 40 to 70 percent slopes",3273,Not prime farmland,NA
"Fairfield County, Ohio",W,Water,3174,Not prime farmland,NA
"Fairfield County, Ohio",CkC2,"Cincinnati silt loam, 6 to 12 percent slopes, eroded",3064,Farmland of unique importance,66
"Fairfield County, Ohio",GkC,"Gilpin silt loam, 8 to 15 percent slopes",3035,Farmland of local importance,59
"Fairfield County, Ohio",Cen1C2,"Centerburg silt loam, 6 to 12 percent slopes, eroded",2928,Farmland of local importance,68
"Fairfield County, Ohio",HmD2,"Hickory-Gilpin complex, 12 to 20 percent slopes, eroded",2889,Farmland of local importance,57
"Fairfield County, Ohio",Ko,"Kokomo silty clay loam, 0 to 2 percent slopes",2810,Prime farmland if drained,87
"Fairfield County, Ohio",GnB,"Glenford silt loam, 3 to 8 percent slopes",2772,All areas are prime farmland,76
"Fairfield County, Ohio",Bb,"Beaucoup silty clay loam, occasionally flooded",2565,Prime farmland if drained,79
"Fairfield County, Ohio",SdD,"Shelocta silt loam, 15 to 25 percent slopes",2536,Farmland of local importance,56
"Fairfield County, Ohio",GkD,"Gilpin silt loam, 15 to 25 percent slopes",2521,Farmland of local importance,51
"Fairfield County, Ohio",CmC2,"Cincinnati-Wellston complex, 6 to 12 percent slopes, eroded",2501,Farmland of unique importance,67
"Fairfield County, Ohio",ApD2,"Amanda-Loudonville complex, 12 to 20 percent slopes, eroded",2427,Farmland of local importance,58
"Fairfield County, Ohio",AmE2,"Amanda silt loam, 20 to 35 percent slopes, eroded",2357,Not prime farmland,NA
"Fairfield County, Ohio",AfB,"Alford silt loam, 2 to 6 percent slopes",2163,All areas are prime farmland,77
"Fairfield County, Ohio",Crd1C2,"Cardington silt loam, 6 to 12 percent slopes, eroded",2123,Farmland of local importance,62
"Fairfield County, Ohio",UxB,"Urban land-Ockley complex, 0 to 6 percent slopes",2069,Not prime farmland,NA
"Fairfield County, Ohio",AoD3,"Amanda silty clay loam, 12 to 20 percent slopes, severely eroded",2045,Farmland of unique importance,55
"Fairfield County, Ohio",Ne,"Newark silt loam, 0 to 3 percent slopes, occasionally flooded",1879,Prime farmland if drained,74
"Fairfield County, Ohio",AfC2,"Alford silt loam, 6 to 12 percent slopes, eroded",1860,Farmland of unique importance,68
"Fairfield County, Ohio",Gg,"Gessie silt loam, frequently flooded",1841,Prime farmland if protected from flooding or not frequently flooded during the growing season,76
"Fairfield County, Ohio",Mb,"Marengo silt loam, overwash",1785,Prime farmland if drained,80
"Fairfield County, Ohio",Gf,"Gessie silt loam, occasionally flooded",1748,All areas are prime farmland,77
"Fairfield County, Ohio",CrA,"Crosby silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",1713,Prime farmland if drained,81
"Fairfield County, Ohio",FbA,"Fitchville silt loam, 0 to 2 percent slopes",1559,Prime farmland if drained,70
"Fairfield County, Ohio",MkC2,"Miamian silt loam, 6 to 12 percent slopes, eroded",1554,Farmland of local importance,70
"Fairfield County, Ohio",Uy,Urban land-Udorthents complex,1508,Not prime farmland,NA
"Fairfield County, Ohio",ApC2,"Amanda-Loudonville complex, 6 to 12 percent slopes, eroded",1478,Farmland of local importance,64
"Fairfield County, Ohio",CsA,"Canal silt loam, 0 to 2 percent slopes",1476,Prime farmland if drained,70
"Fairfield County, Ohio",UrB,"Urban land-Bennington complex, 0 to 6 percent slopes",1463,Not prime farmland,NA
"Fairfield County, Ohio",WeC,"Wellston silt loam, 8 to 15 percent slopes",1453,Farmland of local importance,67
"Fairfield County, Ohio",Km,"Kokomo silt loam, overwash, 0 to 2 percent slopes",1438,Prime farmland if drained,85
"Fairfield County, Ohio",GnC2,"Glenford silt loam, 6 to 15 percent slopes, eroded",1400,Farmland of local importance,69
"Fairfield County, Ohio",CoB,"Corwin silt loam, 2 to 6 percent slopes",1378,All areas are prime farmland,79
"Fairfield County, Ohio",Lk,"Lindside silt loam, 0 to 3 percent slopes, occasionally flooded",1350,All areas are prime farmland,80
"Fairfield County, Ohio",ArC2,"Amanda-Ockley complex, 6 to 12 percent slopes, eroded",1221,Farmland of unique importance,69
"Fairfield County, Ohio",LtE,"Loudonville-Steinsburg complex, 20 to 35 percent slopes",1206,Not prime farmland,NA
"Fairfield County, Ohio",Eu,"Euclid silt loam, rarely flooded",1147,Prime farmland if drained,76
"Fairfield County, Ohio",OcB,"Ockley silt loam, Southern Ohio Till Plain, 2 to 6 percent slopes",1143,All areas are prime farmland,73
"Fairfield County, Ohio",OcA,"Ockley silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",1068,All areas are prime farmland,77
"Fairfield County, Ohio",ThB,"Thackery silt loam, 2 to 6 percent slopes",1045,All areas are prime farmland,68
"Fairfield County, Ohio",CdF,"Cedarfalls-Rock outcrop complex, 40 to 70 percent slopes",1034,Not prime farmland,NA
"Fairfield County, Ohio",WfC,"Wellston-Cruze complex, 8 to 15 percent slopes",980,Farmland of local importance,67
"Fairfield County, Ohio",Um,"Urban land-Aetna complex, rarely flooded",968,Not prime farmland,NA
"Fairfield County, Ohio",Ud,"Udorthents, loamy",963,Not prime farmland,NA
"Fairfield County, Ohio",FmB,"Fox silt loam, 2 to 6 percent slopes",956,All areas are prime farmland,68
"Fairfield County, Ohio",UoC,"Urban land-Amanda complex, 2 to 12 percent slopes",911,Not prime farmland,NA
"Fairfield County, Ohio",LtD2,"Loudonville-Steinsburg complex, 12 to 20 percent slopes, eroded",896,Farmland of unique importance,52
"Fairfield County, Ohio",ThA,"Thackery silt loam, 0 to 2 percent slopes",880,All areas are prime farmland,71
"Fairfield County, Ohio",JeB,"Jeneva silt loam, 2 to 6 percent slopes",879,All areas are prime farmland,75
"Fairfield County, Ohio",HhC2,"Hickory silt loam, 6 to 12 percent slopes, eroded",810,Farmland of local importance,64
"Fairfield County, Ohio",Mns3A,"Minster silty clay loam, 0 to 1 percent slopes",808,Prime farmland if drained,75
"Fairfield County, Ohio",SfD,"Shelocta-Cruze complex, 15 to 25 percent slopes",799,Farmland of local importance,50
"Fairfield County, Ohio",McB,"McGary silt loam, 2 to 6 percent slopes",759,Prime farmland if drained,65
"Fairfield County, Ohio",NaD2,"Negley loam, 12 to 20 percent slopes, eroded",757,Farmland of local importance,53
"Fairfield County, Ohio",FmA,"Fox silt loam, 0 to 2 percent slopes",728,All areas are prime farmland,71
"Fairfield County, Ohio",SkA,"Sleeth silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",715,Prime farmland if drained,74
"Fairfield County, Ohio",NaE,"Negley loam, 20 to 35 percent slopes",696,Not prime farmland,NA
"Fairfield County, Ohio",UtC,"Urban land-Cardington complex, 2 to 12 percent slopes",696,Not prime farmland,NA
"Fairfield County, Ohio",Cg,"Chagrin silt loam, 0 to 3 percent slopes, frequently flooded",625,Prime farmland if protected from flooding or not frequently flooded during the growing season,57
"Fairfield County, Ohio",BkF,"Berks channery silt loam, 35 to 70 percent slopes",624,Not prime farmland,NA
"Fairfield County, Ohio",MmC3,"Miamian-Thrifton complex, 6 to 12 percent slopes, severely eroded",615,Farmland of local importance,53
"Fairfield County, Ohio",FhB,"Fox loam, 2 to 6 percent slopes",592,All areas are prime farmland,68
"Fairfield County, Ohio",HkE,"Hickory-Germano complex, 20 to 35 percent slopes",583,Not prime farmland,NA
"Fairfield County, Ohio",PkC2,"Pike silt loam, 6 to 12 percent slopes, eroded",559,Farmland of local importance,65
"Fairfield County, Ohio",Sc,"Sebring silt loam, rarely flooded",531,Prime farmland if drained,58
"Fairfield County, Ohio",MmD3,"Miamian-Thrifton complex, 12 to 20 percent slopes, severely eroded",508,Farmland of local importance,37
"Fairfield County, Ohio",FhC2,"Fox loam, 6 to 12 percent slopes, eroded",506,Farmland of local importance,59
"Fairfield County, Ohio",Ah,"Aetna silt loam, fan, occasionally flooded",505,Prime farmland if drained,74
"Fairfield County, Ohio",Sh,"Shoals silt loam, occasionally flooded",497,Prime farmland if drained,76
"Fairfield County, Ohio",Ug,"Udorthents, sandy",492,Not prime farmland,NA
"Fairfield County, Ohio",FhA,"Fox loam, 0 to 2 percent slopes",482,All areas are prime farmland,71
"Fairfield County, Ohio",HnC2,"Homewood silt loam, 6 to 12 percent slopes, eroded",461,Farmland of local importance,63
"Fairfield County, Ohio",PkB,"Pike silt loam, 2 to 6 percent slopes",432,All areas are prime farmland,71
"Fairfield County, Ohio",Ro,Rockmill silty clay loam,416,Prime farmland if drained,70
"Fairfield County, Ohio",HoE2,"Homewood-Gilpin complex, 20 to 35 percent slopes, eroded",389,Not prime farmland,NA
"Fairfield County, Ohio",ZnC2,"Zanesville silt loam, 8 to 15 percent slopes",360,Farmland of local importance,62
"Fairfield County, Ohio",Wg,"Westland silt loam, overwash",355,Prime farmland if drained,80
"Fairfield County, Ohio",ArD2,"Amanda-Ockley complex, 12 to 20 percent slopes, eroded",327,Farmland of unique importance,63
"Fairfield County, Ohio",CaD2,"Cardington silt loam, 12 to 20 percent slopes, eroded",321,Farmland of local importance,55
"Fairfield County, Ohio",WdA,"Wea silt loam, 0 to 2 percent slopes",320,All areas are prime farmland,81
"Fairfield County, Ohio",GcD,"Germano sandy loam, 15 to 25 percent slopes",305,Farmland of local importance,53
"Fairfield County, Ohio",Mr,Muskego muck,299,Farmland of local importance,74
"Fairfield County, Ohio",ApB2,"Amanda-Loudonville complex, 2 to 6 percent slopes, eroded",265,All areas are prime farmland,69
"Fairfield County, Ohio",FhD2,"Fox loam, 12 to 20 percent slopes, eroded",247,Farmland of local importance,53
"Fairfield County, Ohio",Rt,"Rossburg silt loam, occasionally flooded",228,All areas are prime farmland,86
"Fairfield County, Ohio",Cb,"Carlisle muck, Central Ohio clayey till plain, drained, 0 to 2 percent slopes",216,Farmland of local importance,68
"Fairfield County, Ohio",Cn,"Condit silt loam, 0 to 1 percent slopes",193,Prime farmland if drained,60
"Fairfield County, Ohio",LtF,"Loudonville-Steinsburg complex, 35 to 70 percent slopes",171,Not prime farmland,NA
"Fairfield County, Ohio",LtC2,"Loudonville-Steinsburg complex, 6 to 12 percent slopes, eroded",166,Farmland of local importance,61
"Fairfield County, Ohio",St,"Stonelick sandy loam, occasionally flooded",157,All areas are prime farmland,60
"Fairfield County, Ohio",Rp,"Rockmill silty clay loam, occasionally flooded",152,Prime farmland if drained,70
"Fairfield County, Ohio",Me,"Medway silt loam, occasionally flooded",147,All areas are prime farmland,88
"Fairfield County, Ohio",SfE,"Shelocta-Cruze complex, 25 to 40 percent slopes",138,Not prime farmland,NA
"Fairfield County, Ohio",Uf,"Udorthents, loamy, organic substratum",98,Not prime farmland,NA
"Fairfield County, Ohio",EkB,"Eldean silt loam, 2 to 6 percent slopes",61,All areas are prime farmland,68
"Fairfield County, Ohio",ZnB,"Zanesville silt loam, 3 to 8 percent slopes",61,Farmland of local importance,65
"Fairfield County, Ohio",TaC2,"Tarlton silt loam, 6 to 12 percent slopes, eroded",59,Farmland of local importance,60
"Fairfield County, Ohio",Ph,"Pits, quarry",52,Not prime farmland,NA
"Fairfield County, Ohio",EnC2,"Eldean gravelly loam, 6 to 12 percent slopes, eroded",26,Farmland of local importance,60
"Fairfield County, Ohio",UuB,"Urban land-Celina complex, 0 to 6 percent slopes",18,Not prime farmland,NA
"Fairfield County, Ohio",EkA,"Eldean silt loam, 0 to 2 percent slopes",12,All areas are prime farmland,71
"Fayette County, Ohio",Bs,"Brookston silty clay loam, fine texture, 0 to 2 percent slopes",90020,Prime farmland if drained,87
"Fayette County, Ohio",CrA,"Crosby silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",44555,Prime farmland if drained,81
"Fayette County, Ohio",CeB,"Celina silt loam, 2 to 6 percent slopes",40198,All areas are prime farmland,76
"Fayette County, Ohio",MlB2,"Miamian silt loam, 2 to 6 percent slopes, eroded",24203,All areas are prime farmland,73
"Fayette County, Ohio",MlB,"Miamian silt loam, 2 to 6 percent slopes",11692,All areas are prime farmland,76
"Fayette County, Ohio",Wv,"Westland silty clay loam, overwash",10578,Prime farmland if drained,80
"Fayette County, Ohio",MmC3,"Miamian clay loam, shallow to dense till substratum, 6 to 12 percent slopes, severely eroded",5248,Not prime farmland,61
"Fayette County, Ohio",Kp,"Kokomo silty clay loam, 0 to 2 percent slopes",3836,Prime farmland if drained,87
"Fayette County, Ohio",MlC2,"Miamian silt loam, 6 to 12 percent slopes, eroded",3820,Not prime farmland,70
"Fayette County, Ohio",Pc,"Patton silty clay loam, overwash",2900,Prime farmland if drained,79
"Fayette County, Ohio",FnB,"Fox silt loam, 2 to 6 percent slopes",2411,All areas are prime farmland,68
"Fayette County, Ohio",MmD3,"Miamian clay loam, shallow to dense till substratum, 12 to 18 percent slopes, severely eroded",2163,Not prime farmland,47
"Fayette County, Ohio",Rs,"Ross silt loam, 0 to 2 percent slopes, occasionally flooded",1393,All areas are prime farmland,92
"Fayette County, Ohio",CeB2,"Celina silt loam, 2 to 6 percent slopes, eroded",975,All areas are prime farmland,73
"Fayette County, Ohio",MrF3,"Miamian and Hennepin soils, 18 to 35 percent slopes, severely eroded",961,Not prime farmland,NA
"Fayette County, Ohio",Ag,Algiers silt loam,952,Prime farmland if drained,74
"Fayette County, Ohio",Wu,"Westland silty clay loam, Southern Ohio Till Plain, 0 to 2 percent slopes",833,Prime farmland if drained,83
"Fayette County, Ohio",Gn,"Genesee silt loam, 0 to 2 percent slopes, occasionally flooded",826,All areas are prime farmland,71
"Fayette County, Ohio",FnB2,"Fox silt loam, 2 to 6 percent slopes, moderately eroded",743,All areas are prime farmland,61
"Fayette County, Ohio",OdA,"Odell silt loam, 0 to 2 percent slopes",705,Prime farmland if drained,85
"Fayette County, Ohio",Ms,"Millsdale silty clay loam, 0 to 2 percent slopes",695,Prime farmland if drained,76
"Fayette County, Ohio",MlD2,"Miamian silt loam, 12 to 18 percent slopes, eroded",663,Not prime farmland,63
"Fayette County, Ohio",FnA,"Fox silt loam, 0 to 2 percent slopes",590,All areas are prime farmland,71
"Fayette County, Ohio",CrB,"Crosby silt loam, Southern Ohio Till Plain, 2 to 6 percent slopes",564,Prime farmland if drained,76
"Fayette County, Ohio",KeB2,"Kendallville silt loam, 2 to 6 percent slopes, moderately eroded",562,All areas are prime farmland,71
"Fayette County, Ohio",KeB,"Kendallville silt loam, 2 to 6 percent slopes",431,All areas are prime farmland,73
"Fayette County, Ohio",MmB3,"Miamian clay loam, 2 to 6 percent slopes, severely eroded",367,Not prime farmland,64
"Fayette County, Ohio",MpE2,"Miamian and Hennepin silt loams, 18 to 25 percent slopes, moderately eroded",345,Not prime farmland,37
"Fayette County, Ohio",MpF2,"Miamian and Hennepin silt loams, 25 to 35 percent slopes, moderately eroded",329,Not prime farmland,NA
"Fayette County, Ohio",ThB,"Thackery silt loam, 1 to 4 percent slopes",289,All areas are prime farmland,70
"Fayette County, Ohio",CeA,"Celina silt loam, 0 to 2 percent slopes",287,All areas are prime farmland,79
"Fayette County, Ohio",KlD3,"Kendallville clay loam, 12 to 18 percent slopes, severely eroded",286,Not prime farmland,37
"Fayette County, Ohio",TrA,"Treaty silty clay loam, 0 to 1 percent slopes",276,Prime farmland if drained,89
"Fayette County, Ohio",MtB2,"Milton silt loam, 2 to 6 percent slopes, moderately eroded",272,All areas are prime farmland,64
"Fayette County, Ohio",KeC2,"Kendallville silt loam, 6 to 12 percent slopes, moderately eroded",267,Not prime farmland,63
"Fayette County, Ohio",KlC3,"Kendallville clay loam, 6 to 12 percent slopes, severely eroded",267,Not prime farmland,53
"Fayette County, Ohio",WrB,"Warsaw silt loam, 1 to 4 percent slopes",265,All areas are prime farmland,73
"Fayette County, Ohio",CtB,"Crosby-Lewisburg silt loams, 2 to 6 percent slopes",258,Prime farmland if drained,76
"Fayette County, Ohio",FnC2,"Fox silt loam, 6 to 12 percent slopes, moderately eroded",247,Not prime farmland,59
"Fayette County, Ohio",Md,Medway silt loam,229,All areas are prime farmland,88
"Fayette County, Ohio",MlC,"Miamian silt loam, 6 to 12 percent slopes",221,Not prime farmland,73
"Fayette County, Ohio",CoB,"Corwin silt loam, 2 to 6 percent slopes",218,All areas are prime farmland,79
"Fayette County, Ohio",MtB,"Milton silt loam, 2 to 6 percent slopes",216,All areas are prime farmland,67
"Fayette County, Ohio",Me,"Medway silt loam, moderately shallow variant",189,All areas are prime farmland,79
"Fayette County, Ohio",FoC3,"Fox and Casco soils, 6 to 12 percent slopes, severely eroded",174,Not prime farmland,44
"Fayette County, Ohio",WsA,"Wea silt loam, 0 to 2 percent slopes",166,All areas are prime farmland,81
"Fayette County, Ohio",CtA,"Crosby-Lewisburg silt loams, 0 to 2 percent slopes",164,Prime farmland if drained,78
