"areaname"|"mukey"|"musym"|"muname"|"mapunit_acres"|"survey_acres"
"Hamilton County, Ohio"|2652836|"AwUXC"|"Alfic Udarents-Urban land complex, loamy substratum over outwash, 0 to 12 percent slopes"|215|264173
"Hamilton County, Ohio"|2652837|"AyUXC"|"Alfic Udarents-Urban land complex, loamy substratum over till, 0 to 12 percent slopes"|76|264173
"Hamilton County, Ohio"|2652838|"AyUXD"|"Alfic Udarents-Urban land complex, loamy substratum over till, 12 to 25 percent slopes"|110|264173
"Hamilton County, Ohio"|2652839|"AyUXF"|"Alfic Udarents-Urban land complex, loamy substratum over till, 25 to 60 percent slopes"|50|264173
"Hamilton County, Ohio"|169372|"BoD"|"Bonnell silt loam, 15 to 25 percent slopes"|1529|264173
"Hamilton County, Ohio"|169373|"BoE"|"Bonnell silt loam, 25 to 35 percent slopes"|2737|264173
"Hamilton County, Ohio"|169374|"BoF"|"Bonnell silt loam, 35 to 60 percent slopes"|279|264173
"Hamilton County, Ohio"|169375|"CcC2"|"Casco gravelly loam, 8 to 15 percent slopes, eroded"|70|264173
"Hamilton County, Ohio"|169376|"CdD"|"Casco loam, 15 to 25 percent slopes"|251|264173
"Hamilton County, Ohio"|169377|"CdE"|"Casco loam, 25 to 35 percent slopes"|798|264173
"Hamilton County, Ohio"|169378|"CdF"|"Casco loam, 35 to 70 percent slopes"|289|264173
"Hamilton County, Ohio"|1720794|"CfE"|"Casco and Rodman gravelly loams, 18 to 35 percent slopes"|33|264173
"Hamilton County, Ohio"|1720823|"CmB"|"Cincinnati silt loam, 2 to 6 percent slopes"|7|264173
"Hamilton County, Ohio"|1720795|"CmC2"|"Cincinnati silt loam, 6 to 12 percent slopes, eroded"|72|264173
"Hamilton County, Ohio"|169379|"CnB2"|"Cincinnati silt loam, 3 to 8 percent slopes, eroded"|1126|264173
"Hamilton County, Ohio"|169380|"CnC2"|"Cincinnati silt loam, 8 to 15 percent slopes, eroded"|2751|264173
"Hamilton County, Ohio"|2652840|"CNWXFF"|"Chagrin-Nelse-Wheeling complex, 2 to 75 percent slopes, frequently flooded"|583|264173
"Hamilton County, Ohio"|2652842|"Da"|"Dumps, ash"|76|264173
"Hamilton County, Ohio"|169381|"DaB"|"Dana silt loam, 0 to 4 percent slopes"|54|264173
"Hamilton County, Ohio"|2652841|"Dam"|"Dam"|25|264173
"Hamilton County, Ohio"|2652843|"Dc"|"Dumps, coal"|46|264173
"Hamilton County, Ohio"|1720796|"DcB"|"Dana silt loam, 2 to 6 percent slopes"|26|264173
"Hamilton County, Ohio"|2652844|"Dl"|"Dumps, lime"|19|264173
"Hamilton County, Ohio"|169382|"EcB2"|"Eden silty clay loam, 3 to 8 percent slopes, eroded"|76|264173
"Hamilton County, Ohio"|169383|"EcC2"|"Eden silty clay loam, 8 to 15 percent slopes, eroded"|507|264173
"Hamilton County, Ohio"|169384|"EcD"|"Eden silty clay loam, 15 to 25 percent slopes"|8420|264173
"Hamilton County, Ohio"|169385|"EcE"|"Eden silty clay loam, 25 to 40 percent slopes"|25237|264173
"Hamilton County, Ohio"|1720797|"EcE2"|"Eden silty clay loam, 15 to 25 percent slopes, moderately eroded"|340|264173
"Hamilton County, Ohio"|1720798|"EcF2"|"Eden silty clay loam, 25 to 50 percent slopes, moderately eroded"|59|264173
"Hamilton County, Ohio"|169386|"EdF"|"Eden flaggy silty clay loam, 40 to 60 percent slopes"|8145|264173
"Hamilton County, Ohio"|169390|"EpA"|"Eldean loam, 0 to 2 percent slopes"|943|264173
"Hamilton County, Ohio"|169391|"EpB2"|"Eldean loam, 2 to 6 percent slopes, eroded"|578|264173
"Hamilton County, Ohio"|169392|"EpC2"|"Eldean loam, 6 to 12 percent slopes, eroded"|173|264173
"Hamilton County, Ohio"|2652845|"EvB"|"Elkinsville silt loam, 2 to 6 percent slopes"|79|264173
"Hamilton County, Ohio"|2652846|"EvC"|"Elkinsville silt loam, 6 to 12 percent slopes"|68|264173
"Hamilton County, Ohio"|169395|"FdA"|"Fincastle silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes"|612|264173
"Hamilton County, Ohio"|169397|"FoA"|"Fox loam, 0 to 2 percent slopes"|290|264173
"Hamilton County, Ohio"|169398|"FoB2"|"Fox loam, 2 to 6 percent slopes, eroded"|196|264173
"Hamilton County, Ohio"|169400|"Gn"|"Genesee loam, occasionally flooded"|3387|264173
"Hamilton County, Ohio"|169402|"HeF"|"Hennepin silt loam, 35 to 60 percent slopes"|225|264173
"Hamilton County, Ohio"|1720799|"HmE2"|"Hennepin-Miamian silt loams, 18 to 25 percent slopes, moderately eroded"|31|264173
"Hamilton County, Ohio"|1720800|"HmF"|"Hennepin-Miamian silt loams, 25 to 50 percent slopes"|139|264173
"Hamilton County, Ohio"|169403|"HoA"|"Henshaw silt loam, 0 to 2 percent slopes"|554|264173
"Hamilton County, Ohio"|169404|"Hu"|"Huntington silt loam, 0 to 2 percent slopes, occasionally flooded"|1075|264173
"Hamilton County, Ohio"|169434|"JoR1A1"|"Jonesboro-Rossmoyne silt loams, 0 to 2 percent slopes"|670|264173
"Hamilton County, Ohio"|1720828|"JoR1B1"|"Jonesboro-Rossmoyne silt loams, 2 to 6 percent slopes"|20|264173
"Hamilton County, Ohio"|169435|"JoR1B2"|"Jonesboro-Rossmoyne silt loams, 2 to 6 percent slopes, eroded"|3380|264173
"Hamilton County, Ohio"|169405|"Ju"|"Jules silt loam, occasionally flooded"|4147|264173
"Hamilton County, Ohio"|169406|"Lg"|"Lanier sandy loam, occasionally flooded"|797|264173
"Hamilton County, Ohio"|169407|"MaB"|"Markland silty clay loam, 2 to 6 percent slopes"|539|264173
"Hamilton County, Ohio"|169408|"MaC2"|"Markland silty clay loam, 6 to 12 percent slopes, eroded"|199|264173
"Hamilton County, Ohio"|169409|"MaD2"|"Markland silty clay loam, 12 to 18 percent slopes, eroded"|86|264173
"Hamilton County, Ohio"|169410|"MaE2"|"Markland silty clay loam, 18 to 25 percent slopes, eroded"|251|264173
"Hamilton County, Ohio"|169411|"McA"|"Martinsville silt loam, 0 to 2 percent slopes"|1025|264173
"Hamilton County, Ohio"|169412|"McB"|"Martinsville silt loam, 2 to 6 percent slopes"|609|264173
"Hamilton County, Ohio"|169413|"MnC2"|"Miamian silt loam, 8 to 15 percent slopes, eroded"|493|264173
"Hamilton County, Ohio"|169414|"MoD2"|"Miamian-Hennepin silt loams, 15 to 25 percent slopes, eroded"|251|264173
"Hamilton County, Ohio"|169415|"MoE2"|"Miamian-Hennepin silt loams, 25 to 35 percent slopes, eroded"|277|264173
"Hamilton County, Ohio"|2652847|"MoUXCO"|"Mollic Udarents-Urban land complex, loamy substratum, 0 to 12 percent slopes, occasionally flooded"|106|264173
"Hamilton County, Ohio"|1720801|"MsC2"|"Miamian-Russell silt loams, bedrock substratum, 6 to 12 percent slopes, moderately eroded"|28|264173
"Hamilton County, Ohio"|1720803|"OcA"|"Ockley silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes"|66|264173
"Hamilton County, Ohio"|1720804|"OcB"|"Ockley silt loam, 2 to 6 percent slopes"|34|264173
"Hamilton County, Ohio"|2652848|"Pb"|"Pits, borrow"|71|264173
"Hamilton County, Ohio"|169417|"PbB2"|"Parke silt loam, 3 to 8 percent slopes, eroded"|280|264173
"Hamilton County, Ohio"|169418|"PbC2"|"Parke silt loam, 8 to 15 percent slopes, eroded"|367|264173
"Hamilton County, Ohio"|169419|"PbD"|"Parke silt loam, 15 to 25 percent slopes"|189|264173
"Hamilton County, Ohio"|169420|"PbE"|"Parke silt loam, 25 to 35 percent slopes"|262|264173
"Hamilton County, Ohio"|169423|"PfC"|"Pate silty clay loam, 8 to 15 percent slopes"|124|264173
"Hamilton County, Ohio"|169424|"PfD"|"Pate silty clay loam, 15 to 25 percent slopes"|2853|264173
"Hamilton County, Ohio"|169425|"PfE"|"Pate silty clay loam, 25 to 35 percent slopes"|773|264173
"Hamilton County, Ohio"|2652849|"Pg"|"Pits, gravel"|2702|264173
"Hamilton County, Ohio"|169427|"Pn"|"Patton silty clay loam, 0 to 2 percent slopes"|498|264173
"Hamilton County, Ohio"|169429|"PrA"|"Princeton sandy loam, 0 to 2 percent slopes"|350|264173
"Hamilton County, Ohio"|169430|"PrB"|"Princeton sandy loam, 2 to 6 percent slopes"|239|264173
"Hamilton County, Ohio"|169431|"PrC2"|"Princeton sandy loam, 6 to 12 percent slopes, eroded"|355|264173
"Hamilton County, Ohio"|1720805|"Ra"|"Ragsdale silty clay loam"|2|264173
"Hamilton County, Ohio"|169432|"RdA"|"Raub silt loam, 0 to 2 percent slopes"|220|264173
"Hamilton County, Ohio"|1720806|"Rm"|"Ross loam"|25|264173
"Hamilton County, Ohio"|169433|"Rn"|"Ross loam, rarely flooded"|588|264173
"Hamilton County, Ohio"|1720830|"RoC2"|"Rossmoyne silt loam, 6 to 12 percent slopes, moderately eroded"|13|264173
"Hamilton County, Ohio"|169436|"RpC2"|"Rossmoyne silt loam, 8 to 15 percent slopes, eroded"|1202|264173
"Hamilton County, Ohio"|1720808|"RuB"|"Russell-Miamian silt loams, 2 to 6 percent slopes"|23|264173
"Hamilton County, Ohio"|1720809|"RuB2"|"Russell-Miamian silt loams, 2 to 6 percent slopes, moderately eroded"|1|264173
"Hamilton County, Ohio"|1720810|"RvB"|"Russell-Miamian silt loams, bedrock substratum, 2 to 6 percent slopes"|9|264173
"Hamilton County, Ohio"|1720811|"RvB2"|"Russell-Miamian silt loams, bedrock substratum, 2 to 6 percent slopes, moderately eroded"|29|264173
"Hamilton County, Ohio"|1720807|"RwB"|"Russell silt loam, 2 to 6 percent slopes"|1|264173
"Hamilton County, Ohio"|169440|"RwB2"|"Russell silt loam, 3 to 8 percent slopes, eroded"|797|264173
"Hamilton County, Ohio"|1720813|"Sh"|"Shoals silt loam"|31|264173
"Hamilton County, Ohio"|169442|"St"|"Stonelick fine sandy loam, frequently flooded"|2946|264173
"Hamilton County, Ohio"|169443|"SwB2"|"Switzerland silt loam, 3 to 8 percent slopes, eroded"|521|264173
"Hamilton County, Ohio"|169444|"SwC2"|"Switzerland silt loam, 8 to 15 percent slopes, eroded"|3755|264173
"Hamilton County, Ohio"|169445|"SwD2"|"Switzerland silt loam, 15 to 25 percent slopes, eroded"|1136|264173
"Hamilton County, Ohio"|2652867|"UAAXC"|"Urban Land-Alfic Udarents-Ava complex, 0 to 12 percent slopes"|5980|264173
"Hamilton County, Ohio"|2652869|"UABXD"|"Urban Land-Alfic Udarents-Bonnell complex, 12 to 25 percent slopes"|403|264173
"Hamilton County, Ohio"|2652870|"UABXF"|"Urban Land-Alfic Udarents-Bonnell complex, 25 to 60 percent slopes"|163|264173
"Hamilton County, Ohio"|2652871|"UACXC"|"Urban Land-Alfic Udarents-Casco complex, 0 to 12 percent slopes"|54|264173
"Hamilton County, Ohio"|2652872|"UACXD"|"Urban Land-Alfic Udarents-Casco complex, 12 to 25 percent slopes"|27|264173
"Hamilton County, Ohio"|2652873|"UACXF"|"Urban land-Alfic Udarents-Casco complex, 25 to 70 percent slopes"|27|264173
"Hamilton County, Ohio"|2652878|"UADXC"|"Urban Land-Alfic Udarents-Eldean complex, 0 to 12 percent slopes"|1913|264173
"Hamilton County, Ohio"|2652875|"UAEXC"|"Urban Land-Alfic Udarents-Eden complex, 0 to 12 percent slopes"|454|264173
"Hamilton County, Ohio"|2652876|"UAEXD"|"Urban Land-Alfic Udarents-Eden complex, 12 to 25 percent slopes"|3084|264173
"Hamilton County, Ohio"|2652877|"UAEXF"|"Urban Land-Alfic Udarents-Eden complex, 25 to 60 percent slopes"|1801|264173
"Hamilton County, Ohio"|2652880|"UAFXC"|"Urban Land-Alfic Udarents-Fincastle complex, 0 to 12 percent slopes"|173|264173
"Hamilton County, Ohio"|2652894|"UAGXC"|"Urban land-Alfic Udarents-Rossmoyne complex, 0 to 12 percent slopes"|15790|264173
"Hamilton County, Ohio"|2652882|"UAHXB"|"Urban Land-Alfic Udarents-Henshaw complex, 0 to 6 percent slopes"|115|264173
"Hamilton County, Ohio"|2652881|"UAJXC"|"Urban Land-Alfic Udarents-Fox complex, 0 to 12 percent slopes"|385|264173
"Hamilton County, Ohio"|2652879|"UAKXC"|"Urban Land-Alfic Udarents-Elkinsville complex, 0 to 12 percent slopes"|739|264173
"Hamilton County, Ohio"|2652895|"UALXC"|"Urban Land-Alfic Udarents-Russell complex, 0 to 12 percent slopes"|1265|264173
"Hamilton County, Ohio"|2652883|"UAMXC"|"Urban Land-Alfic Udarents-Markland complex, 0 to 12 percent slopes"|330|264173
"Hamilton County, Ohio"|2652885|"UANXC"|"Urban Land-Alfic Udarents-Miamian complex, 0 to 12 percent slopes"|206|264173
"Hamilton County, Ohio"|2652886|"UANXD"|"Urban Land-Alfic Udarents-Miamian complex, 12 to 25 percent slopes"|42|264173
"Hamilton County, Ohio"|2652893|"UAOXC"|"Urban Land-Alfic Udarents-Princeton complex, 0 to 12 percent slopes"|331|264173
"Hamilton County, Ohio"|2652887|"UAPXC"|"Urban Land-Alfic Udarents-Parke complex, 0 to 12 percent slopes"|497|264173
"Hamilton County, Ohio"|2652888|"UAPXD"|"Urban Land-Alfic Udarents-Parke complex, 12 to 25 percent slopes"|102|264173
"Hamilton County, Ohio"|2652889|"UAPXF"|"Urban Land-Alfic Udarents-Parke complex, 25 to 50 percent slopes"|47|264173
"Hamilton County, Ohio"|2652874|"UAQXC"|"Urban Land-Alfic Udarents-Cincinnati complex, 0 to 12 percent slopes"|1801|264173
"Hamilton County, Ohio"|2652884|"UARXC"|"Urban Land-Alfic Udarents-Martinsville complex, 0 to 12 percent slopes"|629|264173
"Hamilton County, Ohio"|2652896|"UASXC"|"Urban Land-Alfic Udarents-Switzerland complex, 0 to 12 percent slopes"|5403|264173
"Hamilton County, Ohio"|2652897|"UASXD"|"Urban Land-Alfic Udarents-Switzerland complex, 12 to 25 percent slopes"|241|264173
"Hamilton County, Ohio"|2652890|"UATXC"|"Urban Land-Alfic Udarents-Pate complex, 0 to 12 percent slopes"|156|264173
"Hamilton County, Ohio"|2652891|"UATXD"|"Urban land-Alfic Udarents-Pate complex, 12 to 25 percent slopes"|2197|264173
"Hamilton County, Ohio"|2652892|"UATXE"|"Urban Land-Alfic Udarents-Pate complex, 25 to 35 percent slopes"|104|264173
"Hamilton County, Ohio"|2652868|"UAVXC"|"Urban Land-Alfic Udarents-Avonburg complex, 0 to 12 percent slopes"|632|264173
"Hamilton County, Ohio"|2652898|"UAWXC"|"Urban Land-Alfic Udarents-Wynn complex, 0 to 12 percent slopes"|13|264173
"Hamilton County, Ohio"|2652899|"UAXXC"|"Urban Land-Alfic Udarents-Xenia complex, 0 to 12 percent slopes"|195|264173
"Hamilton County, Ohio"|2652858|"UbAXC"|"Urban Land-Alfic Udarents complex, loamy substratum over bedrock, 0 to 12 percent slopes"|3806|264173
"Hamilton County, Ohio"|2652859|"UbAXD"|"Urban Land-Alfic Udarents complex, loamy substratum over bedrock, 12 to 25 percent slopes"|142|264173
"Hamilton County, Ohio"|2652854|"UcAXC"|"Urban Land-Alfic Udarents complex, clayey substratum over bedrock, 0 to 12 percent slopes"|664|264173
"Hamilton County, Ohio"|2652855|"UcAXD"|"Urban land-Alfic Udarents complex, clayey substratum over bedrock, 12 to 25 percent slopes"|2800|264173
"Hamilton County, Ohio"|2652856|"UcAXF"|"Urban Land-Alfic Udarents complex, clayey substratum over bedrock, 25 to 60 percent slopes"|1963|264173
"Hamilton County, Ohio"|2652904|"UdMXCO"|"Urban Land-Mollic Udarents complex, loamy substratum, 0 to 12 percent slopes, occasionally flooded"|1106|264173
"Hamilton County, Ohio"|2652850|"Udo"|"Udorthents"|1131|264173
"Hamilton County, Ohio"|2652851|"UdoO"|"Udorthents, occasionally flooded"|412|264173
"Hamilton County, Ohio"|2652857|"UfAXC"|"Urban Land-Alfic Udarents complex, fragipan substratum over till, 0 to 12 percent slopes"|35703|264173
"Hamilton County, Ohio"|2652913|"UfUXF"|"Urban land-Udorthents complex, refuse substratum, 0 to 50 percent slopes"|1034|264173
"Hamilton County, Ohio"|2652900|"UHGXAO"|"Urban Land-Haplic Udarents-Genesee complex, 0 to 2 percent slopes, occasionally flooded"|691|264173
"Hamilton County, Ohio"|2652901|"UHJXAO"|"Urban Land-Haplic Udarents-Jules complex, 0 to 2 percent slopes, occasionally flooded"|392|264173
"Hamilton County, Ohio"|2652902|"UHSXAF"|"Urban Land-Haplic Udarents-Stonelick complex, 0 to 2 percent slopes, frequently flooded"|525|264173
"Hamilton County, Ohio"|2652903|"UHWXAO"|"Urban Land-Haplic Udarents-Wakeland complex, 0 to 2 percent slopes, occasionally flooded"|35|264173
"Hamilton County, Ohio"|2652905|"UMDXC"|"Urban Land-Mollic Udarents-Dana complex, 0 to 12 percent slopes"|117|264173
"Hamilton County, Ohio"|2652906|"UMHXAO"|"Urban land-Mollic Udarents-Huntington complex, 0 to 2 percent slopes, occasionally flooded"|432|264173
"Hamilton County, Ohio"|2652907|"UMLXAO"|"Urban land-Mollic Udarents-Lanier complex, 0 to 2 percent slopes, occasionally flooded"|703|264173
"Hamilton County, Ohio"|2652908|"UMRXA"|"Urban Land-Mollic Udarents-Raub complex, 0 to 2 percent slopes"|37|264173
"Hamilton County, Ohio"|2652909|"UMSXAR"|"Urban Land-Mollic Udarents-Ross complex, 0 to 2 percent slopes, rarely flooded"|59|264173
"Hamilton County, Ohio"|2652866|"UoAXC"|"Urban Land-Alfic Udarents complex, loamy substratum, 0 to 12 percent slopes"|637|264173
"Hamilton County, Ohio"|2652852|"Ur"|"Urban Land"|9386|264173
"Hamilton County, Ohio"|2652853|"UrO"|"Urban Land, 0 to 12 percent slopes, occasionally flooded"|1022|264173
"Hamilton County, Ohio"|2652911|"UrUXC"|"Urban Land-Udorthents complex, 0 to 12 percent slopes"|32481|264173
"Hamilton County, Ohio"|2652912|"UrUXCO"|"Urban Land-Udorthents complex, 0 to 12 percent slopes, occasionally flooded"|2524|264173
"Hamilton County, Ohio"|2652914|"UsUXF"|"Urban Land-Udorthents complex, smoothed, 0 to 50 percent slopes"|5639|264173
"Hamilton County, Ohio"|2652863|"UtAXC"|"Urban Land-Alfic Udarents complex, loamy substratum over till, 0 to 12 percent slopes"|3640|264173
"Hamilton County, Ohio"|2652864|"UtAXD"|"Urban Land-Alfic Udarents complex, loamy substratum over till, 12 to 25 percent slopes"|797|264173
"Hamilton County, Ohio"|2652865|"UtAXF"|"Urban Land-Alfic Udarents complex, loamy substratum over till, 25 to 60 percent slopes"|425|264173
"Hamilton County, Ohio"|169455|"UTPXAP"|"Urban Land-Typic Endoaquents-Patton complex, 0 to 2 percent slopes, ponded"|91|264173
"Hamilton County, Ohio"|2652910|"UuBXAB"|"Urban land-Udarents complex, wet substratum, 0 to 6 percent slopes"|83|264173
"Hamilton County, Ohio"|2652915|"UUWXFF"|"Urban Land-Udorthents-Wheeling complex, 2 to 75 percent slopes, frequently flooded"|74|264173
"Hamilton County, Ohio"|2652860|"UwAXC"|"Urban Land-Alfic Udarents complex, loamy substratum over outwash, 0 to 12 percent slopes"|3021|264173
"Hamilton County, Ohio"|2652861|"UwAXD"|"Urban Land-Alfic Udarents complex, loamy substratum over outwash, 12 to 25 percent slopes"|103|264173
"Hamilton County, Ohio"|2652862|"UwAXF"|"Urban Land-Alfic Udarents complex, loamy substratum over outwash, 25 to 70 percent slopes"|70|264173
"Hamilton County, Ohio"|169458|"W"|"Water"|5370|264173
"Hamilton County, Ohio"|169459|"Wa"|"Wakeland silt loam, occasionally flooded"|50|264173
"Hamilton County, Ohio"|169460|"WbA"|"Warsaw variant sandy loam, 0 to 2 percent slopes"|83|264173
"Hamilton County, Ohio"|1720817|"WcA"|"Warsaw loam, 0 to 3 percent slopes"|4|264173
"Hamilton County, Ohio"|169461|"WeA"|"Wea silt loam, 0 to 2 percent slopes"|280|264173
"Hamilton County, Ohio"|169462|"WhA"|"Whitaker loam, 0 to 2 percent slopes"|85|264173
"Hamilton County, Ohio"|2655637|"WsS1A1"|"Westboro-Schaffer silt loams, 0 to 2 percent slopes"|206|264173
"Hamilton County, Ohio"|1720818|"WyB"|"Wynn silt loam, 2 to 6 percent slopes"|1|264173
"Hamilton County, Ohio"|1720819|"WyB2"|"Wynn silt loam, 2 to 6 percent slopes, moderately eroded"|5|264173
"Hamilton County, Ohio"|1720820|"WyC2"|"Wynn silt loam, 6 to 12 percent slopes, moderately eroded"|49|264173
"Hamilton County, Ohio"|169463|"XfA"|"Xenia silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes"|415|264173
"Hamilton County, Ohio"|169464|"XfB2"|"Xenia silt loam, Southern Ohio Till Plain, 2 to 6 percent slopes, eroded"|711|264173
"Hamilton County, Ohio"|1720821|"XhB"|"Xenia silt loam, bedrock substratum, 2 to 6 percent slopes"|28|264173
"Hamilton County, Ohio"|1720822|"XhB2"|"Xenia silt loam, bedrock substratum, 2 to 6 percent slopes, moderately eroded"|3|264173
"Hardin County, Ohio"|168931|"FoB"|"Fox silt loam, till plain, 2 to 6 percent slopes"|1001|301472
"Hardin County, Ohio"|168930|"FoA"|"Fox silt loam, till plain, 0 to 2 percent slopes"|203|301472
"Hardin County, Ohio"|2856677|"Gwe1B1"|"Glynwood silt loam, end moraine, 2 to 6 percent slopes"|10279|301472
"Hardin County, Ohio"|2856676|"Gwg1B1"|"Glynwood silt loam, ground moraine, 2 to 6 percent slopes"|3336|301472
"Hardin County, Ohio"|1611220|"FnA"|"Fox loam, till plain, 0 to 2 percent slopes"|1|301472
"Hardin County, Ohio"|168926|"Ca"|"Carlisle muck, Central Ohio clayey till plain, drained, 0 to 2 percent slopes"|776|301472
"Hardin County, Ohio"|1611198|"PkA"|"Pewamo silty clay loam, 0 to 1 percent slopes"|78121|301472
"Hardin County, Ohio"|1611218|"SjA"|"Shoals silt loam, 0 to 2 percent slopes, occasionally flooded"|13|301472
"Hardin County, Ohio"|2856776|"Gwg5B2"|"Glynwood clay loam, ground moraine, 2 to 6 percent slopes, eroded"|1709|301472
"Hardin County, Ohio"|2856775|"Gwe5B2"|"Glynwood clay loam, end moraine, 2 to 6 percent slopes, eroded"|3686|301472
"Hardin County, Ohio"|2765005|"Ble1B1"|"Blount silt loam, end moraine, 2 to 4 percent slopes"|46068|301472
"Hardin County, Ohio"|2676640|"Blg1B1"|"Blount silt loam, ground moraine, 2 to 4 percent slopes"|37460|301472
"Hardin County, Ohio"|2676641|"Blg1A1"|"Blount silt loam, ground moraine, 0 to 2 percent slopes"|41667|301472
"Hardin County, Ohio"|2764950|"Ble1A1"|"Blount silt loam, end moraine, 0 to 2 percent slopes"|16168|301472
"Hardin County, Ohio"|2518194|"Mnl3A"|"Minster silty clay loam, till substratum, 0 to 1 percent slopes"|618|301472
"Hardin County, Ohio"|2518192|"Mns3A"|"Minster silty clay loam, 0 to 1 percent slopes"|997|301472
"Hardin County, Ohio"|2569659|"Gwd5C2"|"Glynwood clay loam, 6 to 12 percent slopes, eroded"|7761|301472
"Hardin County, Ohio"|2518193|"Mny3A"|"Minster silty clay loam, gravelly substratum, 0 to 1 percent slopes"|290|301472
"Hardin County, Ohio"|2569660|"Gwg5C2"|"Glynwood clay loam, ground moraine, 6 to 12 percent slopes, eroded"|1512|301472
"Hardin County, Ohio"|1611216|"KnA"|"Knoxdale silt loam, 0 to 2 percent slopes, occasionally flooded"|17|301472
"Hardin County, Ohio"|1611214|"FcA"|"Flatrock silt loam, 0 to 2 percent slopes, occasionally flooded"|117|301472
"Hardin County, Ohio"|1611211|"BrA"|"Blount-Houcktown complex, 0 to 3 percent slopes"|2|301472
"Hardin County, Ohio"|1611203|"SrA"|"Sloan silty clay loam, till substratum, 0 to 1 percent slopes, frequently flooded"|23|301472
"Hardin County, Ohio"|1611200|"SgA"|"Shoals silt loam, till substratum, 0 to 1 percent slopes, occasionally flooded"|28|301472
"Hardin County, Ohio"|1611223|"GwD2"|"Glynwood silt loam, 12 to 18 percent slopes, eroded"|1|301472
"Hardin County, Ohio"|1611222|"GwA"|"Glynwood silt loam, 0 to 2 percent slopes"|9|301472
"Hardin County, Ohio"|1611232|"Wf"|"Westland silty clay loam, clay substratum"|41|301472
"Hardin County, Ohio"|1611231|"Wb"|"Wallkill silt loam"|2|301472
"Hardin County, Ohio"|1611229|"SmA"|"Sleeth silt loam, 0 to 2 percent slopes"|12|301472
"Hardin County, Ohio"|1611228|"Gn"|"Genesee silt loam"|14|301472
"Hardin County, Ohio"|1611219|"DfA"|"Del Rey silt loam, till substratum, 0 to 3 percent slopes"|2|301472
"Hardin County, Ohio"|1611227|"NaB"|"Nappanee silt loam, 2 to 6 percent slopes"|2|301472
"Hardin County, Ohio"|1611225|"FvA"|"Fulton silty clay loam, 0 to 2 percent slopes"|27|301472
"Hardin County, Ohio"|168971|"We"|"Westland clay loam"|1405|301472
"Hardin County, Ohio"|168970|"Wa"|"Wallkill silt loam, frequently flooded"|281|301472
"Hardin County, Ohio"|168969|"W"|"Water"|445|301472
"Hardin County, Ohio"|168968|"So"|"Sloan silt loam, frequently flooded"|611|301472
"Hardin County, Ohio"|168967|"SkA"|"Sleeth silt loam, 0 to 3 percent slopes"|780|301472
"Hardin County, Ohio"|168966|"ShB"|"Shinrock silt loam, 2 to 6 percent slopes"|295|301472
"Hardin County, Ohio"|168965|"Sa"|"Saranac silty clay loam, occasionally flooded"|2212|301472
"Hardin County, Ohio"|168964|"Ro"|"Roundhead muck"|5633|301472
"Hardin County, Ohio"|168963|"Pt"|"Pits, quarry"|314|301472
"Hardin County, Ohio"|168962|"Ps"|"Pits, gravel"|168|301472
"Hardin County, Ohio"|168961|"Po"|"Pewamo variant muck"|919|301472
"Hardin County, Ohio"|168959|"Pa"|"Patton silty clay loam"|2600|301472
"Hardin County, Ohio"|168958|"Ot"|"Olentangy silt loam"|206|301472
"Hardin County, Ohio"|168957|"OcB"|"Ockley loam, 2 to 6 percent slopes"|465|301472
"Hardin County, Ohio"|168956|"OcA"|"Ockley loam, 0 to 2 percent slopes"|354|301472
"Hardin County, Ohio"|168955|"No"|"Nolin silt loam, occasionally flooded"|810|301472
"Hardin County, Ohio"|168954|"Ne"|"Newark silt loam, occasionally flooded"|1312|301472
"Hardin County, Ohio"|168953|"MtB"|"Morley-Milton silt loams, 2 to 6 percent slopes"|448|301472
"Hardin County, Ohio"|168952|"MsC2"|"Morley-Belmore complex, 6 to 15 percent slopes, eroded"|532|301472
"Hardin County, Ohio"|168951|"MrD2"|"Morley clay loam, 12 to 18 percent slopes, eroded"|1238|301472
"Hardin County, Ohio"|168948|"Mk"|"Millsdale silty clay loam"|269|301472
"Hardin County, Ohio"|168947|"Mf"|"Milford silty clay loam"|10259|301472
"Hardin County, Ohio"|168946|"Mc"|"McGuffey muck"|2946|301472
"Hardin County, Ohio"|168945|"MaB"|"Martinsville loam, 1 to 4 percent slopes"|397|301472
"Hardin County, Ohio"|168944|"Ln"|"Linwood muck"|1233|301472
"Hardin County, Ohio"|168943|"Le"|"Latty silty clay"|1133|301472
"Hardin County, Ohio"|168942|"La"|"Latty silty clay loam"|1662|301472
"Hardin County, Ohio"|168941|"KbA"|"Kibbie loam, 0 to 3 percent slopes"|744|301472
"Hardin County, Ohio"|168940|"KaB"|"Kendallville silt loam, 2 to 6 percent slopes"|1113|301472
"Hardin County, Ohio"|168939|"HkB"|"Haskins silt loam, 2 to 6 percent slopes"|551|301472
"Hardin County, Ohio"|168938|"HkA"|"Haskins silt loam, 0 to 2 percent slopes"|1230|301472
"Hardin County, Ohio"|168934|"FuB"|"Fulton silt loam, 2 to 6 percent slopes"|423|301472
"Hardin County, Ohio"|168933|"FuA"|"Fulton silt loam, 0 to 2 percent slopes"|1923|301472
